rechiseledcreate:block/warped_window_bars_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/warped_window_covered_end	plain	16	16	-
rechiseledcreate:block/warped_window_covered_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/warped_window_diagonal_end	plain	16	16	-
rechiseledcreate:block/warped_window_diagonal_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/warped_window_large_end	plain	16	16	-
rechiseledcreate:block/warped_window_large_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/warped_window_panes_end	plain	16	16	-
rechiseledcreate:block/warped_window_panes_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/warped_window_rounded_end	plain	16	16	-
rechiseledcreate:block/warped_window_rounded_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/warped_window_slim_end	plain	16	16	-
rechiseledcreate:block/warped_window_slim_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/warped_window_tiles_end	plain	16	16	-
rechiseledcreate:block/warped_window_tiles_side	full	128	128	cf1a8048702ec54035777aaf3acb1153c2512efaa3dc99ac02709796c8daeaa5
